datetime,open,high,low,close,volume
2025-07-24 17:00:00,146.897,146.897,146.75,146.815,4624
2025-07-24 18:00:00,146.816,146.932,146.797,146.921,4339
2025-07-24 19:00:00,146.92,146.968,146.849,146.936,4208
2025-07-24 20:00:00,146.934,146.953,146.884,146.919,1759
2025-07-24 21:00:00,146.972,147.082,146.931,147.067,1226
2025-07-24 22:00:00,147.068,147.238,147.032,147.056,1843
2025-07-24 23:00:00,147.06,147.114,146.963,147.006,3118
2025-07-25 00:00:00,147.009,147.335,146.986,147.209,6872
2025-07-25 01:00:00,147.21,147.464,147.16,147.365,6157
2025-07-25 02:00:00,147.366,147.496,147.35,147.417,4404
2025-07-25 03:00:00,147.418,147.437,147.195,147.22,4104
2025-07-25 04:00:00,147.218,147.276,147.097,147.139,4375
2025-07-25 05:00:00,147.141,147.162,146.815,146.936,5127
2025-07-25 06:00:00,146.935,147.095,146.851,147.058,6843
2025-07-25 07:00:00,147.052,147.413,147.041,147.382,7543
2025-07-25 08:00:00,147.381,147.829,147.361,147.752,8104
2025-07-25 09:00:00,147.753,147.895,147.726,147.87,5960
2025-07-25 10:00:00,147.874,147.901,147.748,147.776,4893
2025-07-25 11:00:00,147.778,147.941,147.643,147.674,5311
2025-07-25 12:00:00,147.667,147.934,147.606,147.853,6840
2025-07-25 13:00:00,147.85,147.92,147.582,147.669,12171
2025-07-25 14:00:00,147.67,147.765,147.529,147.732,9488
2025-07-25 15:00:00,147.731,147.807,147.662,147.781,6274
2025-07-25 16:00:00,147.779,147.837,147.728,147.758,5425
2025-07-25 17:00:00,147.756,147.78,147.655,147.676,4794
2025-07-25 18:00:00,147.675,147.682,147.545,147.563,3755
2025-07-25 19:00:00,147.562,147.622,147.529,147.621,3057
2025-07-25 20:00:00,147.622,147.685,147.62,147.662,1354
2025-07-27 21:00:00,147.699,147.73,147.643,147.65,1052
2025-07-27 22:00:00,147.653,147.835,147.622,147.816,3113
2025-07-27 23:00:00,147.815,147.877,147.746,147.786,3850
2025-07-28 00:00:00,147.785,147.814,147.598,147.617,9005
2025-07-28 01:00:00,147.616,147.876,147.517,147.864,7153
2025-07-28 02:00:00,147.866,148.02,147.825,147.833,5851
2025-07-28 03:00:00,147.828,147.868,147.688,147.713,4219
2025-07-28 04:00:00,147.711,147.796,147.622,147.746,5619
2025-07-28 05:00:00,147.757,147.873,147.727,147.852,5799
2025-07-28 06:00:00,147.866,148.209,147.84,148.021,7899
2025-07-28 07:00:00,148.019,148.337,147.79,148.288,8676
2025-07-28 08:00:00,148.288,148.371,148.162,148.272,8043
2025-07-28 09:00:00,148.271,148.415,148.226,148.386,6540
2025-07-28 10:00:00,148.388,148.434,148.293,148.408,6365
2025-07-28 11:00:00,148.405,148.443,148.075,148.144,7265
2025-07-28 12:00:00,148.134,148.183,148.031,148.055,8456
2025-07-28 13:00:00,148.051,148.329,147.937,148.293,9681
2025-07-28 14:00:00,148.294,148.322,148.098,148.279,8334
2025-07-28 15:00:00,148.278,148.497,148.255,148.46,7117
2025-07-28 16:00:00,148.456,148.522,148.443,148.489,4745
2025-07-28 17:00:00,148.492,148.547,148.394,148.528,4360
2025-07-28 18:00:00,148.529,148.576,148.476,148.552,3403
2025-07-28 19:00:00,148.551,148.56,148.522,148.552,2562
2025-07-28 20:00:00,148.551,148.577,148.493,148.504,1060
2025-07-28 21:00:00,148.482,148.548,148.443,148.537,434
2025-07-28 22:00:00,148.548,148.585,148.492,148.505,1361
2025-07-28 23:00:00,148.506,148.633,148.454,148.454,2495
2025-07-29 00:00:00,148.455,148.709,148.422,148.681,5653
2025-07-29 01:00:00,148.682,148.705,148.471,148.589,5625
2025-07-29 02:00:00,148.589,148.589,148.288,148.345,4975
2025-07-29 03:00:00,148.347,148.452,148.307,148.361,3672
2025-07-29 04:00:00,148.363,148.498,148.328,148.351,4406
2025-07-29 05:00:00,148.35,148.409,148.168,148.242,4354
2025-07-29 06:00:00,148.241,148.541,148.157,148.517,7141
2025-07-29 07:00:00,148.519,148.745,148.485,148.578,8733
2025-07-29 08:00:00,148.582,148.606,148.355,148.555,6802
2025-07-29 09:00:00,148.556,148.574,148.448,148.553,6087
2025-07-29 10:00:00,148.558,148.613,148.386,148.541,5138
2025-07-29 11:00:00,148.542,148.757,148.513,148.715,5821
2025-07-29 12:00:00,148.714,148.77,148.601,148.706,7087
2025-07-29 13:00:00,148.706,148.81,148.526,148.571,7496
2025-07-29 14:00:00,148.553,148.748,148.434,148.476,10688
2025-07-29 15:00:00,148.474,148.622,148.353,148.575,8023
2025-07-29 16:00:00,148.571,148.604,148.451,148.563,6078
2025-07-29 17:00:00,148.564,148.585,148.335,148.489,5699
2025-07-29 18:00:00,148.488,148.558,148.43,148.431,3729
2025-07-29 19:00:00,148.429,148.508,148.343,148.505,3859
2025-07-29 20:00:00,148.507,148.515,148.463,148.478,948
2025-07-29 21:00:00,148.453,148.455,148.382,148.415,620
2025-07-29 22:00:00,148.418,148.498,148.418,148.475,1270
